ABS,Adjustable_Seat,Bore,Cam_Type,Carburettor,Charging_Method,Clutch_Type,Colour,Compression_Ratio,Cooling,Country_of_Origin,Cylinders,Drive_Type,Dry_Weight,Engine_Config,Engine_Type,Engine_Voltage,Exhaust_Config,First_Seen,Frame_Material,Front_Brake_Caliper(s),Front_Brake_Description,Front_Brake_Diameter,Front_Suspension,Front_Suspension_Travel,Fuel_Tank_Capacity,Gear_Change_Method,Gear_Number,Gear_Type,Ground_Clearance,Height,Ignition,Kilometers,Last_Modified,Last_Seen,Learner_Approved,Length,Linked_Braking_System,Maximum_Power,Maximum_Power_RPM,Maximum_Torque,Maximum_Torque_RPM,Model,Postcode,Price,Rake_(Caster_Angle),Rear_Brake_Caliper(s),Rear_Brake_Description,Rear_Brake_Diameter,Rear_Suspension,Rear_Suspension_Travel,Recommended_RON,Seat_Height,Seating_Capacity,Seating_Position,Side_Stand,Side_Stand_Start_Inhibitor,Starter,State,Stroke,Suburb,Swingarm_Type,Throttle_Bore,Traction_Control,Trail,URL,Valves_Per_Cylinder,Wet_Operational_Weight,Wheel_Type,Wheelbase,Width,Seller,Brand,Remaining_Warranty,Remaining_Registration,Age,Live_Add,Sold,Engine_Size
No,No,83.0,DOHC_(Double_Over_Head_Cam),Digital_fuel_injection,Engine,Multi_plate,blue,12.0,Liquid,JAPAN,4.0,Chain,210.0,Inline,Piston,12.0,2_into_1,2019-07-12,Steel,Four_Piston,Hydraulic,320.0,Inverted,120.0,20.0,Left_foot_lever,6.0,Manual,120.0,1185.0,CDI_(Capacitive_Discharge_Ignition),40098.0,2019-07-11,2019-07-12,No,2080.0,No,130.0,10500.0,140.0,8000.0,ZX_12R,3012.0,5500,23.5,Single_Piston,Hydraulic,226.77625108475556,Other,130.0,95.0,808.4078372719101,2.0,Forward,Yes,No,Electric,VIC,55.4,West_footscray,Dual_Sided,46.0,No,93.0,https://www.bikesales.com.au/bikes/details/2004-kawasaki-zx-12r/SSE-AD-6033357/?Cr=3,4.0,226.0,Spoke,1502.0,725.0,Private,Kawasaki,0,3,15,0.0,Sold,1200
No,No,83.0,DOHC_(Double_Over_Head_Cam),Digital_fuel_injection,Engine,Multi_plate,black,12.0,Liquid,JAPAN,4.0,Chain,210.0,Inline,Piston,12.0,2_into_1,2019-07-12,Steel,Four_Piston,Hydraulic,320.0,Inverted,120.0,20.0,Left_foot_lever,6.0,Manual,120.0,1185.0,CDI_(Capacitive_Discharge_Ignition),25500.0,2019-06-19,2019-08-12,No,2080.0,No,130.0,10500.0,140.0,8000.0,ZX_12R,6149.0,6500,23.5,Single_Piston,Hydraulic,226.77625108475556,Other,130.0,95.0,808.4078372719101,2.0,Forward,Yes,No,Electric,WA,55.4,Leeming,Dual_Sided,46.0,No,93.0,https://www.bikesales.com.au/bikes/details/2006-kawasaki-zx-12r/SSE-AD-5078464/?Cr=5,4.0,226.0,Spoke,1502.0,725.0,Private,Kawasaki,0,0,13,31.0,Sold,1200
No,No,83.0,DOHC_(Double_Over_Head_Cam),Digital_fuel_injection,Engine,Multi_plate,blue,12.0,Liquid,JAPAN,4.0,Chain,210.0,Inline,Piston,12.0,2_into_1,2019-08-07,Steel,Four_Piston,Hydraulic,320.0,Inverted,120.0,20.0,Left_foot_lever,6.0,Manual,120.0,1185.0,CDI_(Capacitive_Discharge_Ignition),114466.0,2019-09-08,2019-09-08,No,2080.0,No,130.0,10500.0,140.0,8000.0,ZX,0.0,4990,23.5,Single_Piston,Hydraulic,226.77625108475556,Other,130.0,95.0,808.4078372719101,2.0,Forward,Yes,No,Electric,QLD,55.4,none,Dual_Sided,46.0,No,93.0,https://www.bikesales.com.au/bikes/details/2004-kawasaki-zx-12r/OAG-AD-17483818/?Cr=10,4.0,226.0,Spoke,1502.0,725.0,Dealer,Kawasaki,0,0,15,32.0,Sold,1200
Standard,No,83.0,DOHC_(Double_Over_Head_Cam),Digital_fuel_injection,Engine,Multi_plate,green,10.0,Liquid,JAPAN,2.0,Chain,197.0,Parallel,Piston,12.0,2_into_1,2019-07-09,Steel,Double_Piston,Hydraulic,300.0,Telescopic,125.0,15.0,Left_foot_lever,6.0,Manual,130.0,1125.1043223919403,Digital,547.0,2019-07-03,2019-07-12,No,2055.0,No,50.2,8000.0,70.0,7000.0,Ninja_650_EX650K,0.0,8990,24.5,Single_Piston,Hydraulic,220.0,Shock,130.0,95.0,790.0,2.0,Upright,Standard,No,Electric,VIC,60.0,none,Dual_Sided,36.0,No,110.0,https://www.bikesales.com.au/bikes/details/2017-kawasaki-ninja-650-krt-edition-ex650k/OAG-AD-17368422/?Cr=0,4.0,192.0,Spoke,1410.0,740.0,Private,Kawasaki,0,4,2,3.0,Sold,650
Standard,No,83.0,DOHC_(Double_Over_Head_Cam),Digital_fuel_injection,Engine,Multi_plate,black,10.0,Liquid,JAPAN,2.0,Chain,197.0,Parallel,Piston,12.0,2_into_1,2019-08-07,Steel,Double_Piston,Hydraulic,300.0,Telescopic,125.0,15.0,Left_foot_lever,6.0,Manual,130.0,1120.0,Digital,31980.0,2019-09-08,2019-09-08,No,2055.0,No,50.2,8000.0,70.0,7000.0,Ninja,0.0,6290,24.5,Single_Piston,Hydraulic,220.0,Shock,130.0,95.0,790.0,2.0,Upright,Standard,No,Electric,QLD,60.0,none,Dual_Sided,36.0,No,110.0,https://www.bikesales.com.au/bikes/details/2017-kawasaki-ninja-650-krt-edition-ex650k/OAG-AD-17458868/?Cr=224,4.0,192.0,Spoke,1410.0,740.0,Dealer,Kawasaki,0,0,2,32.0,Sold,650
No,No,81.5,DOHC_(Double_Over_Head_Cam),Electronic_fuel_injection,Engine,Multi_plate,red,11.0,Liquid,KOREA,2.0,Chain,197.0,V-Twin,Piston,12.0,2_into_1,2019-07-01,Other,Four_Piston,Hydraulic,300.0,Conventional_Fork,120.0,17.0,Left_foot_lever,6.0,Manual,130.0,1095.0,CDI_(Capacitive_Discharge_Ignition),12500.0,2019-06-10,2019-07-01,Yes,2095.0,No,48.0,4821.0,70.0,7857.0,GT650R_EFI,3109.0,2950,25.0,Double_Piston,Hydraulic,230.0,Shock,130.0,95.0,790.0,2.0,Forward,Yes,Standard,Electric,VIC,62.0,Doncaster_east,Dual_Sided,39.0,No,97.0,https://www.bikesales.com.au/bikes/details/2014-hyosung-gt650r-efi/SSE-AD-6136521/?Cr=1,4.0,211.0,Spoke,1435.0,720.0,Private,Hyosung,57,0,5,0.0,Sold,650
No,No,81.5,DOHC_(Double_Over_Head_Cam),Electronic_fuel_injection,Engine,Multi_plate,black,11.0,Liquid,KOREA,2.0,Chain,197.0,V-Twin,Piston,12.0,2_into_1,2019-07-01,Other,Four_Piston,Hydraulic,300.0,Conventional_Fork,120.0,17.0,Left_foot_lever,6.0,Manual,130.0,1095.0,CDI_(Capacitive_Discharge_Ignition),7671.0,2019-05-17,2019-07-01,Yes,2095.0,No,48.0,4821.0,70.0,7857.0,GT650R_EFI,5108.0,3000,25.0,Double_Piston,Hydraulic,230.0,Shock,130.0,95.0,790.0,2.0,Forward,Yes,Standard,Electric,SA,62.0,Paralowie,Dual_Sided,39.0,No,97.0,https://www.bikesales.com.au/bikes/details/2013-hyosung-gt650r-efi/SSE-AD-6091440/?Cr=3,4.0,211.0,Spoke,1435.0,720.0,Private,Hyosung,69,0,6,0.0,Sold,650
No,No,81.5,DOHC_(Double_Over_Head_Cam),Electronic_fuel_injection,Engine,Multi_plate,red,11.0,Liquid,KOREA,2.0,Chain,197.0,V-Twin,Piston,12.0,2_into_1,2019-07-01,Other,Four_Piston,Hydraulic,300.0,Conventional_Fork,120.0,17.0,Left_foot_lever,6.0,Manual,130.0,1095.0,CDI_(Capacitive_Discharge_Ignition),9700.0,2019-07-01,2019-07-01,Yes,2095.0,No,48.0,4821.0,70.0,7857.0,GT650R_EFI,0.0,3490,25.0,Single_Piston,Hydraulic,230.0,Shock,130.0,95.0,790.0,2.0,Forward,Yes,Standard,Electric,QLD,62.0,none,Dual_Sided,39.0,No,97.0,https://www.bikesales.com.au/bikes/details/2012-hyosung-gt650r-efi-my13/OAG-AD-17131843/?Cr=4,4.0,211.0,Spoke,1435.0,720.0,Dealer,Hyosung,81,0,7,0.0,Sold,650
No,No,81.5,DOHC_(Double_Over_Head_Cam),Electronic_fuel_injection,Engine,Multi_plate,black,11.0,Liquid,KOREA,2.0,Chain,197.0,V-Twin,Piston,12.0,2_into_1,2019-07-01,Other,Four_Piston,Hydraulic,300.0,Conventional_Fork,120.0,17.0,Left_foot_lever,6.0,Manual,130.0,1095.0,CDI_(Capacitive_Discharge_Ignition),6015.0,2019-08-25,2019-08-25,Yes,2095.0,No,40.0,750.0,70.0,8000.0,GT650R_EFI,0.0,4999,25.0,Double_Piston,Hydraulic,230.0,Shock,130.0,95.0,790.0,2.0,Forward,Yes,Standard,Electric,NSW,62.0,none,Dual_Sided,39.0,No,97.0,https://www.bikesales.com.au/bikes/details/2015-hyosung-gt650r-efi/OAG-AD-16808447/?Cr=8,4.0,211.0,Spoke,1435.0,720.0,Dealer,Hyosung,45,0,4,55.0,Sold,650
No,No,81.5,DOHC_(Double_Over_Head_Cam),Electronic_fuel_injection,Engine,Multi_plate,red,11.0,Liquid,KOREA,2.0,Chain,197.0,V-Twin,Piston,12.0,2_into_1,2019-07-01,Other,Four_Piston,Hydraulic,300.0,Conventional_Fork,120.0,17.0,Left_foot_lever,6.0,Manual,130.0,1095.0,CDI_(Capacitive_Discharge_Ignition),2300.0,2019-09-08,2019-09-08,Yes,2095.0,No,40.0,750.0,70.0,8000.0,GT650R_EFI,0.0,6000,25.0,Double_Piston,Hydraulic,230.0,Shock,130.0,95.0,790.0,2.0,Forward,Yes,Standard,Electric,VIC,62.0,none,Dual_Sided,39.0,No,97.0,https://www.bikesales.com.au/bikes/details/2017-hyosung-gt650r-efi-my15/OAG-AD-16994374/?Cr=9,4.0,211.0,Spoke,1435.0,720.0,Dealer,Hyosung,21,0,2,69.0,Sold,650
No,No,81.5,DOHC_(Double_Over_Head_Cam),Electronic_fuel_injection,Engine,Multi_plate,black,11.0,Liquid,KOREA,2.0,Chain,197.0,V-Twin,Piston,12.0,2_into_1,2019-07-12,Other,Four_Piston,Hydraulic,300.0,Conventional_Fork,120.0,17.0,Left_foot_lever,6.0,Manual,130.0,1095.0,CDI_(Capacitive_Discharge_Ignition),1842.0,2019-07-12,2019-07-12,Yes,2095.0,No,48.0,4821.0,70.0,7857.0,GT650R_EFI,0.0,3490,25.0,Double_Piston,Hydraulic,230.0,Shock,130.0,95.0,790.0,2.0,Forward,Yes,Standard,Electric,ACT,62.0,none,Dual_Sided,39.0,No,97.0,https://www.bikesales.com.au/bikes/details/2013-hyosung-gt650r-efi/OAG-AD-17410610/?Cr=2,4.0,211.0,Spoke,1435.0,720.0,Private,Hyosung,69,0,6,0.0,Sold,650
No,No,81.5,DOHC_(Double_Over_Head_Cam),Electronic_fuel_injection,Engine,Multi_plate,white,11.0,Liquid,KOREA,2.0,Chain,197.0,V-Twin,Piston,12.0,2_into_1,2019-07-12,Other,Four_Piston,Hydraulic,300.0,Conventional_Fork,120.0,17.0,Left_foot_lever,6.0,Manual,130.0,1095.0,CDI_(Capacitive_Discharge_Ignition),7813.0,2019-07-11,2019-08-26,Yes,2095.0,No,40.0,750.0,70.0,8000.0,GT650R_EFI,0.0,4495,25.0,Double_Piston,Hydraulic,230.0,Shock,130.0,95.0,790.0,2.0,Forward,Yes,Standard,Electric,QLD,62.0,none,Dual_Sided,39.0,No,97.0,https://www.bikesales.com.au/bikes/details/2015-hyosung-gt650r-efi/OAG-AD-17409306/?Cr=5,4.0,211.0,Spoke,1435.0,720.0,Private,Hyosung,45,1,4,45.0,Sold,650
No,No,81.5,DOHC_(Double_Over_Head_Cam),Electronic_fuel_injection,Engine,Multi_plate,white,11.0,Liquid,KOREA,2.0,Chain,197.0,V-Twin,Piston,12.0,2_into_1,2019-08-07,Other,Four_Piston,Hydraulic,300.0,Conventional_Fork,120.0,17.0,Left_foot_lever,6.0,Manual,130.0,1095.0,CDI_(Capacitive_Discharge_Ignition),15600.0,2019-08-02,2019-08-07,Yes,2095.0,No,40.0,750.0,70.0,8000.0,GT650R_EFI,3754.0,4000,25.0,Double_Piston,Hydraulic,230.0,Shock,130.0,95.0,790.0,2.0,Forward,Yes,Standard,Electric,VIC,62.0,Doreen,Dual_Sided,39.0,No,97.0,https://www.bikesales.com.au/bikes/details/2015-hyosung-gt650r-efi/SSE-AD-6211719/?Cr=3,4.0,211.0,Spoke,1435.0,720.0,Private,Hyosung,45,1,4,0.0,Sold,650
No,No,81.5,DOHC_(Double_Over_Head_Cam),Electronic_fuel_injection,Engine,Multi_plate,black,11.0,Liquid,KOREA,2.0,Chain,197.0,V-Twin,Piston,12.0,2_into_1,2019-08-07,Other,Four_Piston,Hydraulic,300.0,Conventional_Fork,120.0,17.0,Left_foot_lever,6.0,Manual,130.0,1095.0,CDI_(Capacitive_Discharge_Ignition),2712.0,2019-08-04,2019-08-12,Yes,2095.0,No,40.0,750.0,70.0,8000.0,GT650R_EFI,3136.0,4200,25.0,Double_Piston,Hydraulic,230.0,Shock,130.0,95.0,790.0,2.0,Forward,Yes,Standard,Electric,VIC,62.0,Croydon_north,Dual_Sided,39.0,No,97.0,https://www.bikesales.com.au/bikes/details/2015-hyosung-gt650r-efi/SSE-AD-6229628/?Cr=4,4.0,211.0,Spoke,1435.0,720.0,Private,Hyosung,45,2,4,5.0,Sold,650
No,No,81.5,DOHC_(Double_Over_Head_Cam),Electronic_fuel_injection,Engine,Multi_plate,white,11.0,Liquid,KOREA,2.0,Chain,197.0,V-Twin,Piston,12.0,2_into_1,2019-08-07,Other,Four_Piston,Hydraulic,300.0,Conventional_Fork,120.0,17.0,Left_foot_lever,6.0,Manual,130.0,1095.0,CDI_(Capacitive_Discharge_Ignition),3549.0,2019-08-05,2019-09-08,Yes,2095.0,No,40.0,750.0,70.0,8000.0,GT650R_EFI,5038.0,4500,25.0,Double_Piston,Hydraulic,230.0,Shock,130.0,95.0,790.0,2.0,Forward,Yes,Standard,Electric,SA,62.0,Plympton_park,Dual_Sided,39.0,No,97.0,https://www.bikesales.com.au/bikes/details/2015-hyosung-gt650r-efi/SSE-AD-6225524/?Cr=5,4.0,211.0,Spoke,1435.0,720.0,Private,Hyosung,45,1,4,32.0,Sold,650
