ABS,Adjustable_Seat,Bore,Cam_Type,Carburettor,Charging_Method,Clutch_Type,Colour,Compression_Ratio,Cooling,Country_of_Origin,Cylinders,Drive_Type,Dry_Weight,Engine_Config,Engine_Description,Engine_Stroke,Engine_Type,Engine_Voltage,Exhaust_Config,First_Seen,Frame_Material,Front_Brake_Caliper(s),Front_Brake_Description,Front_Brake_Diameter,Front_Suspension,Front_Suspension_Travel,Fuel_Tank_Capacity,Gear_Change_Method,Gear_Number,Gear_Type,Ground_Clearance,Height,Ignition,Kilometers,Last_Modified,Last_Seen,Learner_Approved,Length,Linked_Braking_System,Make,Maximum_Power,Maximum_Power_RPM,Maximum_Torque,Maximum_Torque_RPM,Model,Network_ID,Postcode,Price,Rake_(Caster_Angle),Rear_Brake_Caliper(s),Rear_Brake_Description,Rear_Brake_Diameter,Rear_Suspension,Rear_Suspension_Travel,Recommended_RON,Registration_Expiry,Seat_Height,Seating_Capacity,Seating_Position,Side_Stand,Side_Stand_Start_Inhibitor,Starter,State,Stroke,Suburb,Swingarm_Type,Throttle_Bore,Traction_Control,Trail,URL,Valves_Per_Cylinder,Warranty_in_Months_from_First_Registration,Wet_Operational_Weight,Wheel_Type,Wheelbase,Width,Release_Year,Seller
No,No,97.0,DOHC_(Double_Over_Head_Cam),Electronic_fuel_injection,Engine,Multi_plate,yellow,11.0,Liquid,ITALY,2.0,Chain,183.0,V-Twin,1000,4.0,Piston,12.0,4_into_1,2019-06-16,Aluminium,Four_Piston,Hydraulic,320.0,Upside_Down,120.0,20.0,Hand_shift_lever,6.0,Manual,137.33805128205128,1145.0,Digital_Electronic,44044.0,2019-07-19,2019-07-19,No,2035.0,No,Aprilia,134.0,12014.0,119.0,10058.0,RSV1000R_Mille,OAG-AD-16937303,0,7990,25.0,Double_Piston,Hydraulic,220.0,Shock,135.0,95.0,01/01/1970,825.0,2.0,Forward,Standard,No,Electric,NSW,67.5,none,Dual_Sided,57.0,No,102.0,https://www.bikesales.com.au/bikes/details/2000-aprilia-rsv1000r-mille/OAG-AD-16937303/?Cr=0,4.0,0,202.0,Spoke,1418.0,730.0,2000,Dealer
No,No,97.0,DOHC_(Double_Over_Head_Cam),Electronic_fuel_injection,Engine,Multi_plate,black,11.0,Liquid,ITALY,2.0,Chain,183.0,V-Twin,1000,4.0,Piston,12.0,4_into_1,2019-06-16,Aluminium,Four_Piston,Hydraulic,320.0,Upside_Down,120.0,20.0,Hand_shift_lever,6.0,Manual,137.33805128205128,1145.0,Digital_Electronic,8620.0,2019-05-25,2019-07-19,No,2035.0,No,Aprilia,134.0,12014.0,119.0,10058.0,RSV1000R_Mille,SSE-AD-3129115,4802,12900,25.0,Double_Piston,Hydraulic,220.0,Shock,135.0,95.0,01/07/2019,825.0,2.0,Forward,Standard,No,Electric,QLD,67.5,Airlie_beach,Dual_Sided,57.0,No,102.0,https://www.bikesales.com.au/bikes/details/2000-aprilia-rsv1000r-mille/SSE-AD-3129115/?Cr=1,4.0,0,202.0,Spoke,1418.0,730.0,2000,Private
No,No,78.0,DOHC_(Double_Over_Head_Cam),Electronic_fuel_injection,Engine,Multi_plate,black,13.0,Liquid,ITALY,4.0,Chain,169.0,V4,1000,4.0,Piston,12.0,4_into_1,2019-06-16,Aluminium,Four_Piston,Disc,320.0,Spring,120.0,17.7,Left_foot_lever,6.0,Manual,137.33805128205128,1125.6576243321003,CDI_(Capacitive_Discharge_Ignition),4100.0,2019-06-16,2019-07-19,No,2055.1309290474323,No,Aprilia,138.0,12014.0,120.0,10058.0,RSV4_Carbon_SE_APRC,SSE-AD-4807538,3156,50000,26.081707070707118,Double_Piston,Hydraulic,220.0,Spring,130.0,95.0,01/10/2019,845.0,2.0,Forward,Yes,No,Electric,VIC,52.3,Ferntree_gully,Dual_Sided,48.0,Standard,97.0,https://www.bikesales.com.au/bikes/details/2012-aprilia-rsv4-carbon-se-aprc-my13/SSE-AD-4807538/?Cr=1,4.0,0,202.0,Spoke,1422.0,722.586,2012,Private
No,No,78.0,DOHC_(Double_Over_Head_Cam),Electronic_fuel_injection,Engine,Multi_plate,black,12.0,Liquid,ITALY,4.0,Chain,179.0,V4,1000,4.0,Piston,12.0,4_into_1,2019-06-16,Aluminium,Four_Piston,Disc,320.0,Conventional_Fork,120.0,17.0,Left_foot_lever,6.0,Manual,130.0,1120.0,Digital_Electronic,51000.0,2019-05-10,2019-07-19,No,2040.0,No,Aprilia,132.0,12500.0,120.0,10000.0,RSV4_Factory,SSE-AD-4331151,3018,8200,24.5,Double_Piston,Hydraulic,220.0,Shock,130.0,91.0,01/04/2019,845.0,2.0,Forward,Standard,No,Electric,VIC,52.3,Altona,Dual_Sided,48.0,Standard,105.0,https://www.bikesales.com.au/bikes/details/2010-aprilia-rsv4-factory/SSE-AD-4331151/?Cr=0,4.0,24,205.0,Spoke,1420.0,735.0,2010,Private
No,No,78.0,DOHC_(Double_Over_Head_Cam),Electronic_fuel_injection,Engine,Multi_plate,black,12.0,Liquid,ITALY,4.0,Chain,179.0,V4,1000,4.0,Piston,12.0,4_into_1,2019-06-16,Aluminium,Four_Piston,Disc,320.0,Upside_Down,120.0,17.0,Left_foot_lever,6.0,Manual,130.0,1120.0,Digital_Electronic,51159.0,2019-07-19,2019-07-19,No,2040.0,No,Aprilia,132.0,12500.0,120.0,10000.0,RSV4_Factory,OAG-AD-17037245,0,8990,24.5,Double_Piston,Hydraulic,220.0,Hydraulic,130.0,95.0,01/07/2019,845.0,2.0,Forward,Standard,No,Electric,QLD,52.3,none,Dual_Sided,48.0,Standard,105.0,https://www.bikesales.com.au/bikes/details/2009-aprilia-rsv4-factory-my10/OAG-AD-17037245/?Cr=1,4.0,24,205.0,Spoke,1250.0,735.0,2009,Dealer
No,No,78.0,DOHC_(Double_Over_Head_Cam),Electronic_fuel_injection,Engine,Multi_plate,black,12.0,Liquid,ITALY,4.0,Chain,179.0,V4,1000,4.0,Piston,12.0,4_into_1,2019-06-16,Aluminium,Four_Piston,Disc,320.0,Upside_Down,120.0,17.0,Left_foot_lever,6.0,Manual,130.0,1120.0,Digital_Electronic,10930.0,2019-07-19,2019-07-19,No,2040.0,No,Aprilia,132.0,12500.0,120.0,10000.0,RSV4_Factory,OAG-AD-16741744,0,12790,24.5,Double_Piston,Hydraulic,220.0,Hydraulic,130.0,95.0,01/01/1970,845.0,2.0,Forward,Standard,No,Electric,WA,52.3,none,Dual_Sided,48.0,Standard,105.0,https://www.bikesales.com.au/bikes/details/2009-aprilia-rsv4-factory-my10/OAG-AD-16741744/?Cr=2,4.0,24,205.0,Spoke,1250.0,735.0,2009,Dealer
No,No,78.0,DOHC_(Double_Over_Head_Cam),Electronic_fuel_injection,Engine,Multi_plate,red,12.0,Liquid,ITALY,4.0,Chain,179.0,V4,1000,4.0,Piston,12.0,4_into_1,2019-06-16,Aluminium,Four_Piston,Disc,320.0,Conventional_Fork,120.0,17.0,Left_foot_lever,6.0,Manual,130.0,1120.0,Digital_Electronic,31690.0,2019-05-28,2019-07-19,No,2040.0,No,Aprilia,132.0,12500.0,120.0,10000.0,RSV4_Factory,SSE-AD-6106982,2045,12900,24.5,Double_Piston,Hydraulic,220.0,Shock,130.0,91.0,01/09/2019,845.0,2.0,Forward,Standard,No,Electric,NSW,52.3,Haberfield,Dual_Sided,48.0,Standard,105.0,https://www.bikesales.com.au/bikes/details/2010-aprilia-rsv4-factory/SSE-AD-6106982/?Cr=3,4.0,24,205.0,Spoke,1420.0,735.0,2010,Private
No,No,78.0,DOHC_(Double_Over_Head_Cam),Electronic_fuel_injection,Engine,Multi_plate,black,12.0,Liquid,ITALY,4.0,Chain,179.0,V4,1000,4.0,Piston,12.0,4_into_1,2019-06-16,Aluminium,Four_Piston,Disc,320.0,Upside_Down,120.0,17.0,Left_foot_lever,6.0,Manual,130.0,1120.0,Digital_Electronic,10693.0,2019-07-19,2019-07-19,No,2040.0,No,Aprilia,132.0,12500.0,120.0,10000.0,RSV4_Factory,OAG-AD-17018387,0,13990,24.5,Double_Piston,Hydraulic,220.0,Hydraulic,130.0,95.0,01/01/1970,845.0,2.0,Forward,Standard,No,Electric,QLD,52.3,none,Dual_Sided,48.0,Standard,105.0,https://www.bikesales.com.au/bikes/details/2009-aprilia-rsv4-factory-my10/OAG-AD-17018387/?Cr=4,4.0,24,205.0,Spoke,1250.0,735.0,2009,Dealer
No,No,78.0,DOHC_(Double_Over_Head_Cam),Electronic_fuel_injection,Engine,Multi_plate,black,12.0,Liquid,ITALY,4.0,Chain,179.0,V4,1000,4.0,Piston,12.0,4_into_1,2019-06-16,Aluminium,Four_Piston,Disc,320.0,Conventional_Fork,120.0,17.0,Left_foot_lever,6.0,Manual,130.0,1120.0,Digital_Electronic,17700.0,2019-05-16,2019-07-19,No,2040.0,No,Aprilia,132.0,12500.0,120.0,10000.0,RSV4_Factory,SSE-AD-5012658,3070,14000,24.5,Double_Piston,Hydraulic,220.0,Shock,130.0,91.0,01/10/2019,845.0,2.0,Forward,Standard,No,Electric,VIC,52.3,Northcote,Dual_Sided,48.0,Standard,105.0,https://www.bikesales.com.au/bikes/details/2010-aprilia-rsv4-factory/SSE-AD-5012658/?Cr=5,4.0,24,205.0,Spoke,1420.0,735.0,2010,Private
Standard,No,78.0,DOHC_(Double_Over_Head_Cam),Electronic_fuel_injection,Engine,Other,black,13.0,Liquid,ITALY,4.0,Chain,181.0,V4,1000,4.0,Piston,12.0,4_into_1,2019-06-16,Aluminium,Four_Piston,Hydraulic,320.0,Inverted,120.0,18.5,Left_foot_lever,6.0,Manual,130.0,1120.0,Digital_Electronic,21000.0,2019-06-04,2019-06-16,No,2040.0,No,Aprilia,135.3,12250.0,120.0,10000.0,RSV4_Factory_APRC,SSE-AD-6116049,3003,11900,24.0,Double_Piston,Hydraulic,220.0,Spring,130.0,95.0,01/08/2019,845.0,2.0,Forward,Standard,No,Electric,VIC,52.3,West_melbourne,Dual_Sided,48.0,Standard,105.0,https://www.bikesales.com.au/bikes/details/2014-aprilia-rsv4-factory-aprc-abs/SSE-AD-6116049/?Cr=0,4.0,24,202.0,Spoke,1443.0,722.586,2014,Private
Standard,No,78.0,DOHC_(Double_Over_Head_Cam),Electronic_fuel_injection,Engine,Other,black,13.0,Liquid,ITALY,4.0,Chain,181.0,V4,1000,4.0,Piston,12.0,4_into_1,2019-06-16,Aluminium,Four_Piston,Hydraulic,320.0,Inverted,120.0,18.5,Left_foot_lever,6.0,Manual,130.0,1120.0,Digital_Electronic,2500.0,2019-05-04,2019-07-19,No,2040.0,No,Aprilia,135.3,12250.0,120.0,10000.0,RSV4_Factory_APRC,SSE-AD-6070695,2037,13900,24.0,Double_Piston,Hydraulic,220.0,Spring,130.0,95.0,01/01/1970,845.0,2.0,Forward,Standard,No,Electric,NSW,52.3,Glebe,Dual_Sided,48.0,Standard,105.0,https://www.bikesales.com.au/bikes/details/2014-aprilia-rsv4-factory-aprc-abs/SSE-AD-6070695/?Cr=1,4.0,24,202.0,Spoke,1443.0,722.586,2014,Private
Standard,No,78.0,DOHC_(Double_Over_Head_Cam),Electronic_fuel_injection,Engine,Other,black,13.0,Liquid,ITALY,4.0,Chain,181.0,V4,1000,4.0,Piston,12.0,4_into_1,2019-06-16,Aluminium,Four_Piston,Hydraulic,320.0,Inverted,120.0,18.5,Left_foot_lever,6.0,Manual,130.0,1120.0,Digital_Electronic,14000.0,2019-05-05,2019-07-19,No,2040.0,No,Aprilia,135.3,12250.0,120.0,10000.0,RSV4_Factory_APRC,SSE-AD-6013995,2121,16500,24.0,Double_Piston,Hydraulic,220.0,Spring,130.0,95.0,01/01/1970,845.0,2.0,Forward,Standard,No,Electric,NSW,52.3,Epping,Dual_Sided,48.0,Standard,105.0,https://www.bikesales.com.au/bikes/details/2014-aprilia-rsv4-factory-aprc-abs/SSE-AD-6013995/?Cr=2,4.0,24,202.0,Spoke,1443.0,722.586,2014,Private
Standard,No,78.0,DOHC_(Double_Over_Head_Cam),Electronic_fuel_injection,Engine,Multi_plate,red,13.0,Liquid,ITALY,4.0,Chain,181.0,V4,1000,4.0,Piston,12.0,4_into_1,2019-06-16,Other,Four_Piston,Hydraulic,320.0,Spring,120.0,18.5,Left_foot_lever,6.0,Manual,130.0,1120.0,Digital_Electronic,11000.0,2019-05-11,2019-07-19,No,2040.0,No,Aprilia,132.4,12250.0,120.0,10058.0,RSV4_Factory_APRC,SSE-AD-5394824,4113,16600,24.0,Double_Piston,Hydraulic,220.0,Spring,130.0,95.0,01/05/2019,845.0,1.0,Forward,Standard,No,Electric,QLD,52.3,Eight_mile_plains,Dual_Sided,48.0,Standard,105.0,https://www.bikesales.com.au/bikes/details/2013-aprilia-rsv4-factory-aprc-abs/SSE-AD-5394824/?Cr=3,4.0,0,202.0,Spoke,1422.0,722.586,2013,Private
Standard,No,78.0,DOHC_(Double_Over_Head_Cam),Electronic_fuel_injection,Engine,Other,black,13.0,Liquid,ITALY,4.0,Chain,181.0,V4,1000,4.0,Piston,12.0,4_into_1,2019-06-16,Aluminium,Four_Piston,Hydraulic,320.0,Inverted,120.0,18.5,Left_foot_lever,6.0,Manual,130.0,1120.0,Digital_Electronic,4706.0,2019-06-13,2019-07-19,No,2040.0,No,Aprilia,135.3,12250.0,120.0,10000.0,RSV4_Factory_APRC,SSE-AD-6065536,5211,16800,24.0,Double_Piston,Hydraulic,220.0,Spring,130.0,95.0,01/08/2019,845.0,2.0,Forward,Standard,No,Electric,SA,52.3,Encounter_bay,Dual_Sided,48.0,Standard,105.0,https://www.bikesales.com.au/bikes/details/2014-aprilia-rsv4-factory-aprc-abs/SSE-AD-6065536/?Cr=4,4.0,24,202.0,Spoke,1443.0,722.586,2014,Private
No,No,78.0,DOHC_(Double_Over_Head_Cam),Electronic_fuel_injection,Engine,Multi_plate,black,13.0,Liquid,ITALY,4.0,Chain,184.0,V4,1000,4.0,Piston,12.0,4_into_1,2019-06-16,Aluminium,Six_Piston,Disc,320.0,Upside_Down,120.0,17.0,Left_foot_lever,6.0,Manual,137.33805128205128,1120.0,CDI_(Capacitive_Discharge_Ignition),14520.0,2019-07-19,2019-07-19,No,2039.0,No,Aprilia,132.4,12500.0,120.0,10000.0,RSV4_R,OAG-AD-17132643,0,10490,24.5,Double_Piston,Calliper,220.0,Other,130.0,95.0,01/01/1970,845.0,2.0,Forward,Yes,No,Electric,VIC,52.3,none,Dual_Sided,48.0,No,108.0,https://www.bikesales.com.au/bikes/details/2010-aprilia-rsv4-r/OAG-AD-17132643/?Cr=0,4.0,24,200.0,Aluminium,1250.0,735.0,2010,Dealer
Standard,No,78.0,DOHC_(Double_Over_Head_Cam),Electronic_fuel_injection,Engine,Multi_plate,black,13.0,Liquid,ITALY,4.0,Chain,186.0,V4,1000,4.0,Piston,12.0,4_into_1,2019-06-16,Aluminium,Four_Piston,Hydraulic,320.0,Spring,120.0,18.5,Left_foot_lever,6.0,Manual,130.0,1120.0,Digital_Electronic,43755.0,2019-07-19,2019-07-19,No,2040.0,No,Aprilia,135.0,12014.0,120.0,10058.0,RSV4_R_APRC,OAG-AD-17213309,0,11990,24.5,Double_Piston,Hydraulic,220.0,Spring,130.0,95.0,01/01/1970,845.0,2.0,Forward,Yes,No,Electric,QLD,52.3,none,Dual_Sided,48.0,Standard,105.0,https://www.bikesales.com.au/bikes/details/2015-aprilia-rsv4-r-aprc-abs/OAG-AD-17213309/?Cr=0,4.0,0,202.0,Spoke,1420.0,735.0,2015,Dealer
Standard,No,78.0,DOHC_(Double_Over_Head_Cam),Electronic_fuel_injection,Engine,Multi_plate,black,13.0,Liquid,ITALY,4.0,Chain,186.0,V4,1000,4.0,Piston,12.0,4_into_1,2019-06-16,Aluminium,Four_Piston,Hydraulic,320.0,Spring,120.0,18.5,Left_foot_lever,6.0,Manual,130.0,1120.0,Digital_Electronic,9800.0,2019-06-13,2019-07-19,No,2040.0,No,Aprilia,135.0,12014.0,120.0,10058.0,RSV4_R_APRC,SSE-AD-5644876,4214,12999,24.5,Double_Piston,Hydraulic,220.0,Spring,130.0,95.0,01/08/2019,845.0,2.0,Forward,No,No,Electric,QLD,52.3,Molendinar,Dual_Sided,48.0,Standard,105.0,https://www.bikesales.com.au/bikes/details/2013-aprilia-rsv4-r-aprc-abs/SSE-AD-5644876/?Cr=1,4.0,0,202.0,Spoke,1420.0,735.0,2013,Private
Standard,No,78.0,DOHC_(Double_Over_Head_Cam),Electronic_fuel_injection,Engine,Multi_plate,white,13.0,Liquid,ITALY,4.0,Chain,186.0,V4,1000,4.0,Piston,12.0,4_into_1,2019-06-17,Aluminium,Four_Piston,Hydraulic,320.0,Spring,120.0,18.5,Left_foot_lever,6.0,Manual,130.0,1120.0,Digital_Electronic,14222.0,2019-06-06,2019-07-19,No,2040.0,No,Aprilia,135.0,12014.0,120.0,10058.0,RSV4_R_APRC,SSE-AD-5961837,3730,13490,24.5,Double_Piston,Hydraulic,220.0,Spring,130.0,95.0,01/07/2019,845.0,2.0,Forward,Yes,No,Electric,VIC,52.3,Yarrawonga,Dual_Sided,48.0,Standard,105.0,https://www.bikesales.com.au/bikes/details/2014-aprilia-rsv4-r-aprc-abs/SSE-AD-5961837/?Cr=2,4.0,0,202.0,Spoke,1420.0,735.0,2014,Private
