Bore,Compression_Ratio,Cylinders,Engine_Stroke,Engine_Voltage,Front_Brake_Diameter,Front_Suspension_Travel,Fuel_Tank_Capacity,Gear_Number,Ground_Clearance,Height,Kilometers,Length,Maximum_Power,Maximum_Power_RPM,Price,Rake_(Caster_Angle),Rear_Brake_Diameter,Rear_Suspension_Travel,Recommended_RON,Seating_Capacity,Stroke,Throttle_Bore,Trail,Valves_Per_Cylinder,Wet_Operational_Weight,Wheelbase,Width,Remaining_Warranty,Remaining_Registration,Age,Live_Add,Engine_Size,ABS,Adjustable_Seat,Cam_Type,Carburettor,Charging_Method,Clutch_Type,Colour,Cooling,Country_of_Origin,Drive_Type,Engine_Config,Engine_Type,Exhaust_Config,First_Seen,Frame_Material,Front_Brake_Caliper(s),Front_Brake_Description,Front_Suspension,Gear_Change_Method,Gear_Type,Ignition,Last_Modified,Last_Seen,Learner_Approved,Linked_Braking_System,Model,Postcode,Rear_Brake_Caliper(s),Rear_Brake_Description,Rear_Suspension,Seating_Position,Side_Stand,Side_Stand_Start_Inhibitor,Starter,State,Suburb,Swingarm_Type,Traction_Control,URL,Wheel_Type,Seller,Brand,Sold
78.0,13.0,4.0,4.0,12.0,320.0,120.0,18.5,6.0,130.0,1120.0,21000.0,2040.0,135.3,12250.0,11900,24.0,220.0,130.0,95.0,2.0,52.3,48.0,105.0,4.0,202.0,1443.0,722.586,57,0,5,0.0,950,Standard,No,DOHC_(Double_Over_Head_Cam),Electronic_fuel_injection,Engine,Other,black,Liquid,ITALY,Chain,V4,Piston,4_into_1,2019-06-16,Aluminium,Four_Piston,Hydraulic,Inverted,Left_foot_lever,Manual,Digital_Electronic,2019-06-04,2019-06-16,No,No,RSV4_Factory_APRC,3003,Double_Piston,Hydraulic,Spring,Forward,Standard,No,Electric,VIC,West_melbourne,Dual_Sided,Standard,https://www.bikesales.com.au/bikes/details/2014-aprilia-rsv4-factory-aprc-abs/SSE-AD-6116049/?Cr=0,Spoke,Private,Aprilia,Sold
78.0,13.0,4.0,4.0,12.0,320.0,120.0,18.5,6.0,130.0,1120.0,2500.0,2040.0,135.3,12250.0,13900,24.0,220.0,130.0,95.0,2.0,52.3,48.0,105.0,4.0,202.0,1443.0,722.586,57,0,5,33.0,950,Standard,No,DOHC_(Double_Over_Head_Cam),Electronic_fuel_injection,Engine,Other,black,Liquid,ITALY,Chain,V4,Piston,4_into_1,2019-06-16,Aluminium,Four_Piston,Hydraulic,Inverted,Left_foot_lever,Manual,Digital_Electronic,2019-05-04,2019-07-19,No,No,RSV4_Factory_APRC,2037,Double_Piston,Hydraulic,Spring,Forward,Standard,No,Electric,NSW,Glebe,Dual_Sided,Standard,https://www.bikesales.com.au/bikes/details/2014-aprilia-rsv4-factory-aprc-abs/SSE-AD-6070695/?Cr=1,Spoke,Private,Aprilia,For Sale
78.0,13.0,4.0,4.0,12.0,320.0,120.0,18.5,6.0,130.0,1120.0,14000.0,2040.0,135.3,12250.0,16500,24.0,220.0,130.0,95.0,2.0,52.3,48.0,105.0,4.0,202.0,1443.0,722.586,57,0,5,33.0,950,Standard,No,DOHC_(Double_Over_Head_Cam),Electronic_fuel_injection,Engine,Other,black,Liquid,ITALY,Chain,V4,Piston,4_into_1,2019-06-16,Aluminium,Four_Piston,Hydraulic,Inverted,Left_foot_lever,Manual,Digital_Electronic,2019-05-05,2019-07-19,No,No,RSV4_Factory_APRC,2121,Double_Piston,Hydraulic,Spring,Forward,Standard,No,Electric,NSW,Epping,Dual_Sided,Standard,https://www.bikesales.com.au/bikes/details/2014-aprilia-rsv4-factory-aprc-abs/SSE-AD-6013995/?Cr=2,Spoke,Private,Aprilia,For Sale
78.0,13.0,4.0,4.0,12.0,320.0,120.0,18.5,6.0,130.0,1120.0,4706.0,2040.0,135.3,12250.0,16800,24.0,220.0,130.0,95.0,2.0,52.3,48.0,105.0,4.0,202.0,1443.0,722.586,57,0,5,33.0,950,Standard,No,DOHC_(Double_Over_Head_Cam),Electronic_fuel_injection,Engine,Other,black,Liquid,ITALY,Chain,V4,Piston,4_into_1,2019-06-16,Aluminium,Four_Piston,Hydraulic,Inverted,Left_foot_lever,Manual,Digital_Electronic,2019-06-13,2019-07-19,No,No,RSV4_Factory_APRC,5211,Double_Piston,Hydraulic,Spring,Forward,Standard,No,Electric,SA,Encounter_bay,Dual_Sided,Standard,https://www.bikesales.com.au/bikes/details/2014-aprilia-rsv4-factory-aprc-abs/SSE-AD-6065536/?Cr=4,Spoke,Private,Aprilia,For Sale
78.0,13.0,4.0,4.0,12.0,320.0,120.0,17.0,6.0,137.33805128205128,1120.0,14520.0,2039.0,132.4,12500.0,10490,24.5,220.0,130.0,95.0,2.0,52.3,48.0,108.0,4.0,200.0,1250.0,735.0,105,0,9,33.0,950,No,No,DOHC_(Double_Over_Head_Cam),Electronic_fuel_injection,Engine,Multi_plate,black,Liquid,ITALY,Chain,V4,Piston,4_into_1,2019-06-16,Aluminium,Six_Piston,Disc,Upside_Down,Left_foot_lever,Manual,CDI_(Capacitive_Discharge_Ignition),2019-07-19,2019-07-19,No,No,RSV4_R,0,Double_Piston,Calliper,Other,Forward,Yes,No,Electric,VIC,none,Dual_Sided,No,https://www.bikesales.com.au/bikes/details/2010-aprilia-rsv4-r/OAG-AD-17132643/?Cr=0,Aluminium,Dealer,Aprilia,For Sale
78.0,13.0,4.0,4.0,12.0,320.0,120.0,18.5,6.0,130.0,1120.0,43755.0,2040.0,135.0,12014.0,11990,24.5,220.0,130.0,95.0,2.0,52.3,48.0,105.0,4.0,202.0,1420.0,735.0,0,0,4,33.0,950,Standard,No,DOHC_(Double_Over_Head_Cam),Electronic_fuel_injection,Engine,Multi_plate,black,Liquid,ITALY,Chain,V4,Piston,4_into_1,2019-06-16,Aluminium,Four_Piston,Hydraulic,Spring,Left_foot_lever,Manual,Digital_Electronic,2019-07-19,2019-07-19,No,No,RSV4_R_APRC,0,Double_Piston,Hydraulic,Spring,Forward,Yes,No,Electric,QLD,none,Dual_Sided,Standard,https://www.bikesales.com.au/bikes/details/2015-aprilia-rsv4-r-aprc-abs/OAG-AD-17213309/?Cr=0,Spoke,Dealer,Aprilia,For Sale
78.0,13.0,4.0,4.0,12.0,320.0,120.0,18.5,6.0,130.0,1120.0,9800.0,2040.0,135.0,12014.0,12999,24.5,220.0,130.0,95.0,2.0,52.3,48.0,105.0,4.0,202.0,1420.0,735.0,0,0,6,33.0,950,Standard,No,DOHC_(Double_Over_Head_Cam),Electronic_fuel_injection,Engine,Multi_plate,black,Liquid,ITALY,Chain,V4,Piston,4_into_1,2019-06-16,Aluminium,Four_Piston,Hydraulic,Spring,Left_foot_lever,Manual,Digital_Electronic,2019-06-13,2019-07-19,No,No,RSV4_R_APRC,4214,Double_Piston,Hydraulic,Spring,Forward,No,No,Electric,QLD,Molendinar,Dual_Sided,Standard,https://www.bikesales.com.au/bikes/details/2013-aprilia-rsv4-r-aprc-abs/SSE-AD-5644876/?Cr=1,Spoke,Private,Aprilia,For Sale
78.0,13.0,4.0,4.0,12.0,320.0,120.0,18.5,6.0,130.0,1120.0,14222.0,2040.0,135.0,12014.0,13490,24.5,220.0,130.0,95.0,2.0,52.3,48.0,105.0,4.0,202.0,1420.0,735.0,0,0,5,32.0,950,Standard,No,DOHC_(Double_Over_Head_Cam),Electronic_fuel_injection,Engine,Multi_plate,white,Liquid,ITALY,Chain,V4,Piston,4_into_1,2019-06-17,Aluminium,Four_Piston,Hydraulic,Spring,Left_foot_lever,Manual,Digital_Electronic,2019-06-06,2019-07-19,No,No,RSV4_R_APRC,3730,Double_Piston,Hydraulic,Spring,Forward,Yes,No,Electric,VIC,Yarrawonga,Dual_Sided,Standard,https://www.bikesales.com.au/bikes/details/2014-aprilia-rsv4-r-aprc-abs/SSE-AD-5961837/?Cr=2,Spoke,Private,Aprilia,For Sale
78.0,13.0,4.0,4.0,12.0,320.0,120.0,18.5,6.0,130.0,1120.0,19764.0,2040.0,135.0,12014.0,13990,24.5,220.0,130.0,95.0,2.0,52.3,48.0,105.0,4.0,202.0,1420.0,735.0,0,0,5,32.0,950,Standard,No,DOHC_(Double_Over_Head_Cam),Electronic_fuel_injection,Engine,Multi_plate,none,Liquid,ITALY,Chain,V4,Piston,4_into_1,2019-06-17,Aluminium,Four_Piston,Hydraulic,Spring,Left_foot_lever,Manual,Digital_Electronic,2019-07-19,2019-07-19,No,No,RSV4_R_APRC,0,Double_Piston,Hydraulic,Spring,Forward,Yes,No,Electric,WA,none,Dual_Sided,Standard,https://www.bikesales.com.au/bikes/details/2014-aprilia-rsv4-r-aprc-abs/OAG-AD-16721602/?Cr=4,Spoke,Dealer,Aprilia,For Sale
78.0,13.0,4.0,4.0,12.0,320.0,120.0,18.5,6.0,130.0,1120.0,3800.0,2040.0,135.0,12014.0,14000,24.5,220.0,130.0,95.0,2.0,52.3,48.0,105.0,4.0,202.0,1420.0,735.0,0,2,5,13.0,950,Standard,No,DOHC_(Double_Over_Head_Cam),Electronic_fuel_injection,Engine,Multi_plate,red,Liquid,ITALY,Chain,V4,Piston,4_into_1,2019-06-17,Aluminium,Four_Piston,Hydraulic,Spring,Left_foot_lever,Manual,Digital_Electronic,2019-05-22,2019-06-30,No,No,RSV4_R_APRC,4556,Double_Piston,Hydraulic,Spring,Forward,Yes,No,Electric,QLD,Buderim,Dual_Sided,Standard,https://www.bikesales.com.au/bikes/details/2014-aprilia-rsv4-r-aprc-abs/SSE-AD-5838238/?Cr=5,Spoke,Private,Aprilia,Sold
